"VALOR"
21,58
6
14,98
5,32
29,89
19,3
23,33
9,94
7,5
8
6,5
17,02
9,74
12,29
3,45
19,49
2,62
19,31
3,91
46,82
26,5
58,34
33,72
14,49
19,1
9,67
7,5
32,36
4,27
7,12
5
19,48
7,61
6,22
5
24,04
8,49
5,49
15,82
31,98
14,99
4,5
16,43
26,73
6,22
18,89
9,98
65,88
8,84
4,95
31,57
8,11
10,5
7
8,5
18,35
12
5,47
5
54,87
68,84
33,98
26,76
32,1
5,25
13,5
7,99
39,53
13,55
6,5
14,48
6,49
11
13,5
7,5
4
8,98
4,99
7,49
42,2
43
40,44
23,04
20,08
17
17,24
20,49
20,98
9,99
29,98
39,49
20,28
9,5
29,36
7,5
12,99
25,48
7,5
29,82
7,5
25,93
4,99
18,59
34,19
10
8,7
92,68
10
11,49
12,99
42,78
12,5
5,98
76,74
218,41
8,98
9,99
12,99
7,5
8,49
5,99
3,79
7,99
14,98
15,5
21,46
16,2
5
8,99
4,5
46,4
5,5
9,49
5,5
2
9
10,5
18,99
12,47
30
10
8
8,49
14
44,89
3,5
7
20,99
18,98
53,97
101,77
15
17,5
9,99
6,49
7
7
51,08
15,5
4,99
11,49
65,97
14
7,5
122,66
14
26,6
18,98
23,5
23,98
53,42
23,99
18,07
3,77
10,99
14
41,47
49,44
2,59
37,48
24,98
9,5
95,94
7,5
120,58
14,48
12,49
27,99
6,49
38,47
7,5
93,44
32,62
18,79
56,14
42,5
11
12
101,84
9
14,95
32,48
26,99
23,84
11
41,31
3,99
76,54
15,29
22,99
29,48
33,85
24,66
24,48
24,73
23,95
7,96
30,99
12
10,5
16,5
42,96
2,99
13,48
64,24
15,49
45,49
53,96
9,48
12,99
10,5
42
11,25
59,51
41,66
7
33,96
6,99
32,74
40,46
24,85
76,68
19,44
9,5
33,38
19,5
22,95
10,5
8,49
7,99
1,99
10,5
6,49
16,47
53,95
15,99
31,63
55,28
10,42
10,35
2,5
12,11
4,35
11,81
9,99
4,27
48,06
1,35
290,7
19,26
16,12
8,59
17,4
13,09
21,97
31,13
10,43
13,53
10,91
10,02
5,25
9,5
14,79
15,48
11,99
9,94
41,77
4,99
12,39
2,62
12,41
21,76
12,49
5,5
8,6
7
13,5
12,79
16,88
14,81
5,4
20,04
47,87
5
7,98
7,5
8,99
31,96
61,48
43,96
8
11,99
6
4
3
16,39
6
8,5
11,98
15,49
20
4
69,95
20,5
8,49
26
6,77
21,29
3,5
2,5
25,48
9,75
129,9
13,5
59,96
29,98
9,98
65,49
11,92
22,34
10
4,99
7,5
10,46
47,96
13,99
10,5
28,17
16
27
13,55
29,8
16,49
17,98
5,99
4
10
30,49
14,99
5,5
8,99
3,5
9,69
12,98
20,48
6,49
4
4
3,5
21,73
55,66
8,49
41,46
5,99
6
5,99
37
208,16
609
768
73,99
22,5
10
7,49
8,49
16
9,99
19,5
22,98
369,58
73,91
12,5
3,5
55,74
5,99
10
31
3,5
8,99
150
66,5
6
29,5
52,46
45,47
7
5,8
34,73
9,6
31,95
14,5
2,99
3,5
4,99
16,82
12,99
12,48
5,99
15,7
6
103,49
19,17
32,07
96,98
6,99
28,11
15,48
5,49
6
12,32
16,99
38,5
18,99
42,39
23,98
9,98
12,49
33,48
28,02
8,99
12,5
72,43
46,73
18,48
3,5
19,5
6,49
74,48
78,33
6,5
35
7,24
75,43
7,75
11,99
40,88
25,03
13
73,81
45,97
62,98
34,49
19,5
82,4
5,18
10
16,5
19,99
47,37
15
13,5
9,11
28
5,98
7,5
19,27
17
4,42
3,45
7,77
19,19
7,7
3,6
2,99
12,99
12,14
4,42
8,47
32,06
4,99
10,85
21,8
20,73
6
25,27
9,49
1,8
14,7
30,35
7,5
3,5
19,98
44,83
17,69
65,97
6,75
12,18
11,46
27,14
2,29
7,28
19,49
95,25
26,98
37,98
24,59
91,4
11,98
16,82
21,49
12,59
21,99
5,49
18,95
200,12
24,5
14,35
13,29
9,75
9,99
7,5
30,78
14,99
14,98
10,99
14,63
316,86
8,98
7,99
22,14
6
23,75
7,27
14,76
67,88
21,79
8,99
27,98
17,49
11
50,48
23,99
28,43
21,77
7,49
24,49
7,5
11
2,99
23,98
3,99
5,98
10,99
4
3,99
17
16,97
31,81
9
9,09
4
7,5
8
40,38
10,99
4,49
17,95
2,99
2,29
10,99
9,99
26,48
13
11,58
4,99
2,5
14
5
49,02
11,5
8
